0610009B22Rik	1	chr11	-	51685386	51688874	51686092,	51688690,
Atxn1l	1	chr8	-	109726451	109737739	109733742,109735363,109735525,	109735305,109735460,109737631,
Atxn2	1	chr5	+	121711609	121814950	121712276,121745759,121747469,121747996,121749229,121772788,121777461,121778105,121779596,121781542,121784039,121785412,121785866,121786404,121795248,121796436,121797375,121797791,121802265,121803080,121806275,121810996,121811612,121813553,	121745723,121747410,121747925,121749079,121772667,121777370,121777908,121779418,121781333,121783857,121785215,121785759,121786334,121794938,121796373,121797223,121797725,121802081,121802948,121806222,121810851,121811385,121813385,121814338,
Atxn2l	1	chr7	-	126491708	126503437	126492215,126493001,126493376,126493674,126493890,126494329,126494492,126494723,126495269,126495655,126495891,126496360,126496646,126497364,126497668,126498305,126499241,126500253,126500873,126501174,126501312,126501458,	126492812,126493164,126493553,126493761,126494139,126494420,126494577,126495200,126495360,126495821,126496289,126496437,126497254,126497493,126498105,126499150,126500129,126500723,126501103,126501256,126501422,126502900,
Atxn3	0	chr12	-	101918901	101958246	101923204,101926581,101933064,101934414,101937469,101942204,101945466,101945919,101948048,101948439,	101926484,101932968,101934248,101937337,101942117,101945400,101945834,101948004,101948275,101958134,
Atxn7	1	chr14	+	13961440	14103482	13961523,13995095,14013369,14013655,14053023,14087532,14089455,14090109,14095601,14095898,14096315,14100901,	13995007,14013073,14013587,14052919,14087283,14089196,14090027,14095357,14095700,14096194,14099935,14103307,
Atxn7l2	1	chr3	-	108202222	108210934	108202373,108204043,108204622,108204914,108205885,108206308,108207109,108207604,108208067,108208505,108209095,	108203248,108204501,108204716,108205632,108206226,108206823,108207394,108207963,108208440,108208917,108210345,
Atxn7l3	1	chr11	-	102289301	102296629	102291803,102292055,102292207,102292485,102292773,102293095,102293342,102293668,102293941,102294305,102294642,102295059,	102291898,102292136,102292442,102292705,102293067,102293276,102293646,102293844,102294134,102294510,102294949,102296403,
Auh	1	chr13	-	52835119	52929661	52835551,52838133,52839608,52841064,52887297,52889195,52898736,52919088,52919266,	52838086,52839558,52840877,52887241,52889103,52898650,52919001,52919199,52929455,
Aunip	0	chr4	+	134510999	134523927	134511169,134521601,	134521472,134522954,
Aup1	0	chr6	+	83054521	83057808	83054832,83055048,83055279,83055690,83055970,83056140,83056434,83056644,83056878,83057093,83057394,	83054911,83055129,83055506,83055898,83056067,83056368,83056542,83056759,83056978,83057276,83057498,
Aurka	1	chr2	-	172356196	172370506	172356981,172357255,172359903,172362913,172363789,172364496,172367171,172369032,	172357081,172359755,172362775,172363598,172364442,172366922,172368986,172370395,
Aurkaip1	0	chr4	+	155831351	155833130	155831735,155832070,155832797,	155831983,155832352,155832891,
Aurkb	1	chr11	+	69045647	69051664	69045810,69046008,69047887,69048041,69048365,69048644,69048879,69050476,	69045935,69047785,69047972,69048174,69048506,69048731,69050302,69050900,
Aurkc	1	chr7	+	6995300	7003091	6995712,6996301,6996710,6997652,7000127,7002531,	6996268,6996519,6997514,6999979,7002357,7002793,
Auts2	1	chr5	-	131437788	131616605	131440693,131443678,131445482,131446884,131452025,131457910,131460156,131461353,131466127,131470458,131472479,131475173,131477023,131533872,	131443456,131445399,131446807,131451884,131457839,131460127,131461282,131466032,131470414,131472259,131474923,131476553,131533821,131615957,
Aven	0	chr2	+	112492964	112634573	112493221,112514627,112625225,112627844,112630076,	112514450,112625155,112627749,112629740,112630779,
Avil	1	chr10	+	127000709	127020994	127000831,127003450,127004771,127006691,127007649,127007850,127008334,127008841,127009059,127009882,127010077,127010659,127011059,127011878,127013653,127014243,127016498,127017032,127018511,	127003366,127004697,127006495,127007541,127007740,127008132,127008763,127008961,127009729,127009977,127010522,127010901,127011699,127013508,127014099,127016310,127016964,127018386,127020450,
Avl9	0	chr6	+	56714927	56761912	56715214,56723596,56725161,56726322,56728277,56728663,56729760,56730680,56735432,56736976,56741503,56743551,56746398,56753418,56753926,	56723476,56725076,56726251,56728188,56728597,56729720,56730642,56735363,56736438,56741369,56743332,56746281,56753365,56753838,56757272,
Avp	1	chr2	-	130580620	130582554	130580849,130581257,	130581056,130582410,
Avpi1	0	chr19	-	42123273	42129059	42123848,42125026,	42124748,42128871,
Avpr1a	1	chr10	+	122448499	122453452	122449789,	122452074,
Avpr1b	1	chr1	+	131599239	131612000	131600671,	131609411,
Avpr2	1	chrX	+	73892102	73894428	73892268,73893508,	73892624,73893669,
Awat1	1	chrX	+	100572251	100578205	100572412,100573576,100573900,100574903,100575693,100577545,	100573469,100573830,100574699,100575522,100577346,100577734,
Awat2	1	chrX	-	100402221	100412587	100402940,100403339,100404305,100404733,100405029,100405696,	100403140,100404131,100404529,100404959,100405586,100412451,
Axdnd1	0	chr1	-	156330418	156420428	156330710,156331725,156333267,156335444,156339077,156341894,156346792,156349109,156351451,156365817,156376721,156378457,156380943,156382477,156388111,156392017,156392789,156395553,156397542,156398548,156400267,156402945,156418337,156419411,	156331487,156333185,156335343,156338745,156341784,156346696,156348901,156351358,156365616,156376487,156378382,156380780,156382376,156387991,156391913,156392649,156395432,156397440,156398492,156400182,156402831,156418234,156419239,156420335,
Axin1	1	chr17	+	26138688	26195811	26139041,26143576,26173780,26182586,26184314,26188221,26188744,26190231,26192623,26194106,	26142618,26173640,26182490,26184177,26187704,26188574,26189986,26192516,26193939,26194935,
Axin2	1	chr11	+	108920349	108950783	108920561,108924102,108931579,108939414,108942043,108942696,108943129,108943886,108944605,108946047,	108923152,108931439,108939312,108941903,108942191,108942935,108943656,108944510,108945880,108949269,
Axl	1	chr7	-	25757273	25788687	25759013,25760887,25761564,25763393,25764064,25764514,25766595,25766888,25770309,25770765,25773125,25773493,25774223,25774725,25778485,25778704,25786010,25786987,25787516,	25760751,25761405,25763284,25763943,25764422,25766518,25766793,25770218,25770633,25773099,25773343,25774084,25774515,25778370,25778624,25785834,25786887,25787291,25788415,
Azgp1	1	chr5	+	137981539	137990233	137981620,137985386,137987714,	137985126,137987439,137989556,
Azi2	1	chr9	+	118040499	118063839	118040958,118047633,118049435,118049996,118051502,118055910,118059175,	118047413,118049310,118049897,118051354,118055816,118059057,118061714,
Azin1	1	chr15	-	38487427	38519266	38490472,38491690,38492359,38493636,38494366,38495354,38497398,38498841,38500471,38501600,38514609,	38491476,38492244,38493474,38494292,38495273,38497264,38498669,38500298,38501404,38514473,38518909,
Azin2	1	chr4	-	128932022	128962439	128932491,128934671,128946169,128947618,128948957,128949724,128950772,128959957,128961559,128962204,	128934457,128946057,128947459,128948792,128949590,128950600,128959784,128961363,128962084,128962301,
B020004J07Rik	1	chr4	-	101834969	101844023	101835941,101837397,101838139,	101836825,101837826,101843908,
B020011L13Rik	1	chr1	+	117781133	117803359	117781230,117781514,117783007,	117781314,117782881,117800907,
B020031M17Rik	1	chr13	-	119949357	119950806	119950096,	119950622,
B230118H07Rik	0	chr2	-	101562124	101649532	101562354,101576151,101583587,101585315,101586469,101610675,	101576012,101583521,101585244,101586312,101610524,101649422,
B230217C12Rik	0	chr11	+	97840780	97843043	97840794,97841576,	97841263,97842184,
B230219D22Rik	0	chr13	+	55693124	55703500	55693347,	55699073,
B230307C23Rik	1	chr16	+	97997334	98016115	97997436,98008755,98009004,98010168,98015719,	98008629,98008944,98010119,98015666,98015842,
B2m	1	chr2	+	122147686	122153083	122147804,122151151,122151675,	122150873,122151647,122152651,
B3galnt1	1	chr3	-	69574158	69598960	69575960,69579391,	69579326,69598802,
B3galnt2	1	chr13	+	13954469	13999074	13954919,13966457,13970867,13975634,13980696,13987463,13990867,13991552,13994540,13995275,13995783,	13966310,13970767,13975438,13980601,13987353,13990789,13991369,13994415,13995116,13995727,13996893,
B3galt1	1	chr2	+	68104671	68120514	68104723,	68117713,
B3galt2	1	chr1	+	143640664	143654614	143641342,	143646006,
B3galt5	1	chr16	+	96235801	96319859	96236094,96236566,96313775,	96236447,96313599,96315169,
B3gat1	1	chr9	+	26733728	26761350	26734177,26751599,26751890,26756094,26757033,26757793,	26751505,26751744,26755586,26756737,26757693,26759149,
B3gat2	1	chr1	+	23761926	23849158	23763228,23815365,23845021,	23815221,23844873,23845101,
B3gat3	1	chr19	+	8920374	8927236	8920648,8921980,8925898,8926372,	8921806,8925538,8926082,8926736,
B3glct	1	chr5	+	149678230	149762599	149678379,149696474,149703318,149709429,149725487,149726865,149730060,149732736,149735489,149739601,149745539,149746604,149750550,149754209,	149696425,149703279,149709320,149725411,149726754,149729924,149732673,149735370,149739532,149745426,149746505,149750431,149754065,149759439,
B3gnt2	1	chr11	-	22834865	22860488	22837195,	22860218,
B3gnt3	1	chr8	-	71690756	71701789	71693155,71693899,	71693317,71701718,
B3gnt5	1	chr16	+	19760234	19772753	19760477,19760827,19764353,19765214,19765621,	19760641,19764151,19765108,19765501,19768744,
B3gnt6	1	chr7	-	98192417	98199481	98194751,	98199446,
B3gnt7	1	chr1	+	86303234	86307305	86303554,	86305045,
B3gnt8	1	chr7	+	25627638	25629492	25627722,	25628115,
B3gntl1	0	chr11	-	121616197	121673153	121617852,121619728,121623506,121623990,121624227,121629997,121630867,121639847,121644592,121651673,121670969,121671173,	121619635,121623432,121623922,121624092,121629873,121630772,121639752,121644527,121651609,121670870,121671057,121672985,
B430306N03Rik	1	chr17	+	48316141	48327024	48316485,48317042,48319214,48321105,48322469,	48316731,48319151,48320978,48322411,48323937,
B4galnt1	1	chr10	+	127165225	127172330	127165519,127166222,127166882,127167105,127167542,127167881,127169842,127170168,127170731,127171159,	127166004,127166718,127166999,127167502,127167701,127169744,127169978,127170591,127170919,127171616,
B4galnt2	1	chr11	-	95865943	95914891	95866276,95866969,95868490,95869421,95873948,95876278,95883980,95888913,95891110,95891973,	95866750,95868350,95869234,95873862,95876098,95883943,95888807,95890973,95891758,95914820,
B4galnt3	1	chr6	-	120203094	120294559	120203918,120206605,120207276,120208978,120209386,120210408,120215503,120216335,120216656,120217565,120219011,120222130,120222351,120223668,120224176,120224635,120225188,120231591,120232991,	120206479,120207123,120208906,120209233,120210092,120214747,120216274,120216556,120217456,120218868,120222064,120222273,120223601,120224076,120224545,120225093,120231514,120232888,120294391,
B4galnt4	1	chr7	+	141061104	141072400	141061424,141063940,141064373,141064555,141064731,141064907,141065121,141065405,141066998,141067244,141067436,141067620,141067800,141068761,141070694,141070941,141071114,141071361,141071763,	141063837,141064278,141064460,141064641,141064807,141065054,141065327,141066932,141067110,141067327,141067520,141067700,141067873,141070411,141070788,141071042,141071208,141071637,141071996,
B4galt1	1	chr4	-	40804602	40854005	40807317,40807837,40809801,40812872,40823674,	40807733,40809679,40812685,40823439,40853391,
B4galt2	1	chr4	-	117873131	117883487	117874003,117876984,117877219,117877629,117881103,117881670,117881817,	117876880,117877097,117877439,117880868,117881315,117881776,117883102,
B4galt3	1	chr1	+	171270328	171276895	171270414,171271373,171272001,171272756,171274143,171274388,171275986,	171271203,171271707,171272521,171273953,171274266,171275882,171276106,
B4galt4	1	chr16	+	38742264	38769049	38742368,38752399,38754151,38757866,38763191,38766019,	38752002,38753919,38757679,38763069,38765915,38767898,
B4galt5	1	chr2	-	167298444	167349183	167301483,167302111,167305118,167305847,167306707,167307668,167309336,167313221,	167302010,167304996,167305660,167306591,167307544,167309223,167313087,167348918,
B4galt6	1	chr18	-	20684599	20746404	20688468,20689036,20689343,20692579,20700855,20706529,20720142,20728078,	20688935,20689221,20692392,20700739,20706405,20720029,20727962,20745353,
B4galt7	1	chr13	+	55600065	55610442	55600192,55604382,55607422,55608425,55608802,	55604020,55607197,55608342,55608698,55609219,
B4gat1	1	chr19	+	5038826	5041131	5040032,	5040307,
B9d1	1	chr11	+	61505144	61512931	61505271,61506412,61507739,61509168,61509532,61512439,	61506344,61507628,61509072,61509470,61512372,61512652,
B9d2	1	chr7	+	25680780	25686558	25680978,25681474,25683416,	25681383,25683291,25685981,
BB014433	0	chr8	-	15041444	15046069	15043093,	15045967,
BB287469	1	chr12	+	87816577	87820676	87816766,	87819016,
BC003965	0	chr17	+	25184554	25187662	25184640,	25184720,
BC004004	0	chr17	+	29268825	29314065	29269002,29282267,29282891,29294161,29294414,29296689,29298765,	29282060,29282678,29294007,29294275,29296560,29298642,29301356,
BC005537	0	chr13	+	24801657	24816197	24803509,24804958,24805984,24810020,	24804782,24805862,24809886,24812637,
BC005561	0	chr5	+	104508352	104522611	104508571,	104517423,
BC005624	0	chr2	-	30972177	30981941	30973301,30973790,30974037,30976088,30977969,30978965,30980050,30981542,	30973692,30973901,30975891,30977892,30978895,30979999,30981483,30981778,
BC016579	0	chr16	-	45626848	45654068	45628310,45629583,45633051,45640432,45648962,	45629402,45632981,45640305,45648833,45653901,
BC017158	0	chr7	-	128271379	128298170	128272615,128273549,128273794,128274703,128276143,128276412,128276565,128285214,128288369,128288491,128290635,128297576,	128273472,128273651,128274633,128276086,128276228,128276495,128285113,128288264,128288459,128290590,128297462,128297790,
BC024063	1	chr10	+	82083353	82111216	82083412,82107936,82108199,	82107810,82108139,82108739,
BC024139	0	chr15	-	76119520	76126542	76119829,76120136,76120338,76120683,76121163,76121526,76121748,76124131,76124414,76124781,76125146,76125365,76125565,76125957,76126353,	76120003,76120254,76120459,76120870,76121424,76121606,76123959,76124297,76124573,76125062,76125215,76125447,76125835,76126032,76126514,
BC024978	0	chr7	+	27195781	27204320	27196107,27197366,27200622,27201144,27202537,27202697,	27196906,27200554,27201020,27202408,27202627,27203756,
BC025920	1	chr10	+	81606303	81609836	81606390,81606984,	81606876,81608139,
BC028528	0	chr3	-	95883954	95892005	95884237,95885071,95888296,95888915,95889809,	95884970,95888141,95888857,95889723,95891885,
BC029722	0	chr2	-	155817730	155819426	155819083,	155819166,
BC030500	0	chr8	+	58911755	58914298	58911802,58912534,	58912417,58912860,
BC030867	0	chr11	+	102248882	102265187	102249092,102250729,102256021,102257970,102259460,102259942,102260164,102260616,102262300,	102250679,102254954,102257887,102259320,102259834,102260079,102260491,102262183,102264635,
BC031181	0	chr18	+	75005900	75010152	75006114,75008826,	75008651,75009278,
BC034090	1	chr1	-	155212471	155244444	155213713,155217566,155218387,155221587,155223431,155226448,155232589,155240799,155242326,	155217382,155218260,155221335,155223275,155224911,155232446,155240736,155241425,155244186,
BC035044	0	chr6	-	128849090	128891126	128850205,128885079,	128884938,128890817,
BC035947	1	chr1	-	78497026	78512158	78499785,	78511856,
BC048403	0	chr10	+	121739938	121752878	121740210,121745616,	121745498,121750303,
BC048562	0	chr9	+	108436482	108446086	108436579,108438537,108445256,	108438424,108445200,108445666,
BC048671	0	chr6	+	90301219	90305449	90301351,90301955,90302885,90303318,	90301501,90302760,90303193,90305078,
BC048679	0	chr7	-	81494275	81498281	81494378,81495373,81495780,81496160,81496867,	81495126,81495579,81496143,81496850,81498232,
BC049352	0	chr9	+	45195766	45250020	45195993,45241509,45243000,45244287,	45241393,45242967,45244159,45248815,
BC049715	0	chr6	+	136827985	136839798	136828248,	136839740,
BC049762	1	chr11	-	51253651	51263046	51254052,51254664,	51254359,51262995,
BC051019	0	chr7	-	109712184	109723850	109712535,109716487,109718159,109720687,109723303,	109715846,109717925,109720531,109723119,109723796,
BC051142	0	chr17	+	34398821	34460734	34398853,34416604,34417533,34418941,34419584,34421987,34440887,34443458,34444058,34445498,34446033,34446977,34448120,34448332,34448822,34449274,34449829,34451654,34452514,	34416467,34417242,34418855,34419552,34421853,34440867,34443438,34444038,34445487,34446019,34446957,34448094,34448303,34448766,34449251,34449809,34451631,34452500,34459863,
BC051665	1	chr13	-	60781887	60786364	60782254,60782752,60783481,60784187,60784524,60784743,60785156,	60782644,60783319,60783963,60784378,60784621,60785020,60786289,
BC052040	0	chr2	+	115581733	115778768	115581985,115631050,115632000,115639064,115642736,115669661,115670058,115674793,115686450,115687169,	115631005,115631936,115639004,115642664,115669582,115670009,115674726,115686385,115687064,115776902,
BC053393	1	chr11	+	46571536	46589232	46571695,46574629,46577488,46584457,46586236,	46574572,46577150,46584368,46586200,46587897,
BC055324	0	chr1	-	163953754	163994796	163954339,163955456,163956908,163957597,163959401,163960672,163962086,163964655,163964824,163966459,163967156,163968340,163971961,163972352,163976808,163978160,163982803,163984408,163986167,163987027,163987710,163989793,163990759,	163955337,163956828,163957493,163959288,163960577,163961964,163964470,163964735,163966408,163967074,163968154,163971847,163972207,163976744,163978080,163982665,163984324,163986005,163986887,163987606,163989705,163990720,163994610,
BC061212	1	chr5	-	94066151	94070545	94067068,94068556,94069324,	94067966,94069011,94070472,
BC061237	1	chr14	+	44500122	44506345	44500197,44501318,44503449,44504291,	44501162,44503318,44504107,44505997,
BC067074	1	chr13	+	113293159	113370515	113293334,113317247,113321219,113323205,113327751,113342568,113346642,113351766,113366267,	113317084,113317665,113322735,113327575,113342370,113346511,113351597,113366084,113367470,
BC080695	1	chr4	+	143551700	143573797	143551745,143571298,143572366,	143570985,143571776,143572647,
BC107364	0	chr3	-	96433788	96452306	96434442,96434830,96440862,96442167,	96434737,96440709,96442043,96452176,
BC147527	1	chr13	+	120300392	120308779	120300621,120301273,120303964,120307930,	120300962,120303736,120307769,120308118,
BX088531.1	0	chrX	+	123346764	123378718	123346880,123352256,	123352216,123378020,
BX571804.1	0	chrX	+	124015997	124041521	124016113,124021478,	124021438,124040823,
BX908741.1	0	chr2	-	104754795	104816760	104758605,104760589,104762963,104766056,104770180,104776389,104777452,104778253,104780260,104790197,104794657,104795294,	104760494,104762811,104765959,104770043,104776172,104777319,104778137,104779935,104786520,104794504,104795188,104816600,
Baalc	0	chr15	+	38933144	38951264	38933321,38934076,	38933910,38949118,
Baat	1	chr4	-	49489422	49506557	49490413,49499838,49503171,	49499636,49502655,49506329,
Babam1	0	chr8	+	71396861	71404619	71397020,71398025,71398450,71399646,71399807,71401704,71402875,71403062,	71397679,71398392,71399526,71399729,71401680,71402746,71402976,71404195,
Bace1	1	chr9	+	45838580	45864399	45839288,45852976,45854843,45856225,45857248,45858501,45859059,45859450,	45852888,45854627,45856088,45857114,45858400,45858910,45859279,45860054,
Bace2	1	chr16	+	97356742	97442936	97357101,97399722,97408493,97412186,97413483,97415180,97421999,97424658,	97399634,97408277,97412058,97413349,97415079,97421850,97424490,97436642,
Bach1	1	chr16	+	87698945	87733346	87699056,87715624,87720150,87722608,	87715331,87718807,87722402,87729437,
Bad	0	chr19	+	6941861	6951899	6942440,6943046,6950830,	6942867,6950640,6951399,
Bag1	0	chr4	-	40936401	40948243	40936676,40937194,40939184,40941638,40943707,40946297,	40937132,40939077,40941525,40943625,40946169,40947722,
Bag2	0	chr1	-	33745484	33757795	33747016,33748326,	33748217,33757579,
Bag3	1	chr7	+	128523616	128546981	128524044,128540311,128542208,	128539973,128541807,128545590,
Bag4	1	chr8	-	25764538	25785287	25768409,25769536,25771333,25777527,	25769282,25771079,25777423,25784899,
Bag5	1	chr12	-	111709488	111713257	111711412,	111713044,
Bag6	0	chr17	+	35135178	35147322	35135471,35136235,35138489,35138782,35139076,35139309,35140489,35140951,35141623,35142082,35142384,35142839,35143010,35143682,35144442,35144768,35144999,35145239,35145453,35145752,35145921,35146169,35146353,35146903,	35136115,35138372,35138586,35139023,35139235,35140233,35140822,35141426,35141830,35142307,35142727,35142923,35143333,35144151,35144599,35144946,35145137,35145329,35145606,35145862,35146026,35146246,35146757,35147141,
Bahcc1	1	chr11	+	120232947	120292296	120233107,120237257,120259251,120268429,120273104,120273423,120273872,120274142,120274696,120275202,120276873,120279254,120279506,120280198,120282233,120283388,120284174,120284555,120284827,120285062,120285259,120285434,120285679,120286417,120286769,120288104,120289544,	120236860,120259072,120268307,120271359,120273315,120273694,120273984,120274419,120274872,120276058,120279055,120279370,120280070,120282119,120283096,120283996,120284254,120284720,120284912,120285145,120285359,120285571,120286301,120286593,120286924,120289308,120289677,
Bahd1	1	chr2	+	118901453	118924528	118901757,118917309,118919515,118920356,118920832,118921696,	118915888,118919133,118920197,118920756,118921596,118922383,
Baiap2	1	chr11	+	119942763	120006782	119943248,119957177,119960243,119980850,119981464,119982126,119993848,119996747,119997090,119997690,119998702,119999297,120000586,	119957102,119960157,119980789,119981393,119981989,119993696,119996523,119996889,119997489,119998634,119999135,120000552,120006359,
Baiap2l1	1	chr5	-	144264526	144358112	144266032,144266645,144275965,144277716,144278738,144280967,144282157,144284596,144285595,144286146,144286311,144319015,144324632,	144266608,144275773,144277645,144278528,144280820,144281990,144284444,144285458,144286075,144286250,144318929,144324557,144357791,
Baiap2l2	1	chr15	-	79258195	79285537	79258652,79258847,79259395,79259774,79261287,79261540,79261965,79270652,79271318,79271596,79283487,79284093,79284650,	79258804,79259188,79259652,79261074,79261402,79261813,79270506,79271202,79271525,79283426,79284007,79284575,79285338,
Baiap3	1	chr17	-	25242659	25256364	25243741,25244027,25244229,25244429,25244591,25244824,25245245,25245395,25245550,25245830,25246026,25246256,25246453,25246688,25246855,25247055,25247193,25247400,25247608,25248147,25248374,25248567,25248763,25249190,25249392,25249559,25250278,25250459,25250655,25251208,25251518,25251819,25252144,	25243822,25244106,25244309,25244511,25244753,25245137,25245316,25245482,25245639,25245934,25246113,25246330,25246558,25246804,25246958,25247137,25247310,25247484,25248027,25248271,25248472,25248656,25249088,25249315,25249515,25250083,25250393,25250596,25251101,25251438,25251732,25252011,25256161,
Bak1	1	chr17	-	27019810	27029009	27021035,27021347,27022582,27022877,27025893,	27021167,27022439,27022742,27025793,27028411,
Bambi	1	chr18	+	3507923	3516404	3508285,3511544,	3511257,3511982,
Banf1	1	chr19	-	5364638	5367168	5365158,5365956,	5365818,5366568,
Banf2	1	chr2	+	144033059	144073979	144033168,144062415,144065533,	144062297,144065405,144073767,
Banp	0	chr8	+	121950544	122029258	121950648,121974565,121975991,121978754,121990071,121991703,121997279,122001131,122005682,122007162,122007791,122020644,122024146,	121974427,121975900,121978555,121989955,121991528,121997040,122000964,122005552,122007091,122007753,122020519,122024003,122025564,
Bap1	1	chr14	+	31251450	31259944	31251654,31251779,31251954,31253060,31253575,31254094,31254309,31254639,31255209,31255660,31256295,31256791,31257767,31258041,31258376,31258530,	31251750,31251900,31252928,31253456,31254033,31254167,31254561,31255086,31255513,31256111,31256661,31257289,31257881,31258284,31258458,31258706,
Bard1	0	chr1	-	71027498	71103146	71030852,71031456,71046770,71047772,71053721,71065651,71067188,71075480,71088251,71089527,	71031359,71046678,71047640,71053613,71065479,71067108,71074543,71088109,71089471,71102668,
Barhl1	1	chr2	-	28907679	28916412	28909922,28911564,	28911342,28915214,
Barhl2	1	chr5	-	106452523	106458166	106453669,106455675,	106455450,106457226,
Barx1	1	chr13	+	48662998	48666507	48663339,48665317,48665485,	48665026,48665401,48665828,
Barx2	1	chr9	-	31846044	31913462	31847055,31854197,31859043,	31854113,31858731,31912905,
Basp1	0	chr15	-	25363277	25413764	25364918,	25413552,
Batf	1	chr12	+	85686669	85709087	85686973,85689372,	85689268,85708543,
Batf2	1	chr19	+	6164439	6172476	6164553,6166572,	6166468,6171306,
Batf3	1	chr1	+	191098325	191108943	191098527,191100832,	191100728,191108451,
Bax	1	chr7	-	45461697	45466898	45461966,45463503,45465324,45466123,45466271,	45463399,45465189,45465977,45466220,45466742,
Baz1a	1	chr12	-	54893551	54986507	54894501,54895045,54896172,54898798,54900226,54900558,54909147,54911461,54912740,54917067,54918562,54921145,54922608,54923264,54923480,54927710,54929665,54930347,54934906,54935581,54941636,54944064,54946903,54954841,54975382,54985807,	54894958,54896030,54898338,54900000,54900311,54908999,54911310,54912577,54916468,54918438,54921038,54922443,54923040,54923385,54927564,54929527,54930252,54934740,54935482,54941502,54943977,54946802,54954698,54975104,54985666,54986162,
Baz1b	1	chr5	+	135187264	135246129	135187756,135196588,135198315,135205191,135209164,135210938,135218294,135222096,135223218,135226612,135228625,135230334,135231782,135236422,135238066,135240145,135242542,135243912,	135196472,135198171,135204990,135209043,135210741,135216590,135221958,135223085,135226510,135228527,135230157,135231600,135236275,135237919,135240027,135242412,135243809,135244106,
Baz2a	1	chr10	+	128091635	128129303	128091776,128096523,128109031,128111348,128112767,128113681,128114783,128115085,128116169,128116407,128116757,128118655,128119020,128119500,128119878,128121325,128121665,128121980,128122127,128122450,128123655,128123988,128124262,128124486,128125182,128125401,128125645,128126241,128126469,	128096439,128108894,128110755,128112582,128113463,128114334,128115025,128116061,128116306,128116547,128118555,128118955,128119270,128119624,128121111,128121591,128121800,128122068,128122306,128123024,128123766,128124107,128124335,128124893,128125269,128125499,128126018,128126326,128126588,
Bbc3	0	chr7	+	16309616	16318205	16309861,16312414,16313817,	16312126,16313627,16317118,
Bbip1	0	chr19	-	53929861	53944627	53931502,53932205,53943579,	53932130,53943466,53944417,
Bbof1	0	chr12	+	84409071	84433780	84409255,84411265,84413329,84414717,84420054,84423503,84425280,84427201,84428444,84430079,84430333,	84411037,84413264,84414574,84419974,84423433,84425136,84426708,84428343,84430005,84430219,84433301,
Bbox1	1	chr2	-	110262697	110305741	110265614,110268394,110270211,110275664,110292608,110303856,	110268228,110270015,110275559,110292410,110303742,110305414,
Bbs1	0	chr19	-	4886878	4906628	4890758,4891076,4891787,4893021,4894419,4895031,4897438,4897694,4899306,4900622,4902915,4903052,4903192,4903974,4906019,4906218,	4890990,4891653,4892888,4894261,4894962,4897280,4897574,4899200,4900491,4902843,4903014,4903146,4903702,4905985,4906142,4906556,
Bbs10	0	chr10	+	111298679	111301727	111298907,	111299213,
Bbs12	1	chr3	+	37312554	37321450	37312585,	37319050,
Bbs2	0	chr8	-	94067954	94098928	94068382,94070110,94074404,94075260,94077083,94079612,94080939,94081169,94082137,94082491,94086742,94086935,94087454,94089165,94089887,94092622,	94069962,94074292,94075123,94076952,94079483,94080768,94081025,94081998,94082356,94086656,94086831,94087377,94089103,94089762,94092395,94098236,
Bbs4	1	chr9	-	59321990	59353508	59322982,59323589,59324178,59324859,59327358,59327608,59328648,59330472,59333607,59336417,59339883,59341198,59342551,59344139,59345851,	59323388,59324037,59324790,59327187,59327456,59328580,59330418,59333480,59336364,59339811,59341087,59342488,59344060,59345800,59353410,
Bbs5	0	chr2	+	69647208	69667571	69647342,69649104,69652847,69654112,69654373,69655634,69656992,69661098,69663160,69665109,69666964,	69649022,69652782,69654063,69654246,69655499,69656897,69661036,69663026,69665026,69666941,69667104,
Bbs7	0	chr3	-	36573142	36613477	36573622,36575417,36575648,36575852,36578560,36582765,36590717,36592439,36594560,36598368,36599423,36602959,36604522,36605756,36607707,36610355,36610628,36612077,	36575294,36575545,36575743,36578396,36582626,36590652,36592365,36594368,36598266,36599339,36602829,36604406,36605684,36607521,36610180,36610566,36612012,36613250,
Bcam	1	chr7	-	19756131	19770547	19756619,19756825,19758568,19758803,19759096,19760188,19760412,19764196,19764789,19765516,19765709,19766759,19767061,19768573,	19756708,19758424,19758659,19758960,19760047,19760294,19764040,19764653,19765334,19765613,19766689,19766836,19768452,19770407,
Bcan	1	chr3	-	87987531	88000230	87987967,87988462,87988837,87989250,87990298,87990782,87993642,87994333,87995703,87996245,87996713,87997356,87997855,	87988272,87988693,87989168,87990140,87990675,87993055,87994112,87995410,87996118,87996539,87996985,87997745,88000103,
Bcap29	1	chr12	-	31590967	31634635	31596377,31600744,31617180,31624250,31626876,31630893,31634380,	31600644,31617075,31624115,31626726,31630793,31634263,31634605,
Bcap31	1	chrX	-	73686178	73716175	73686595,73687937,73688780,73689682,73707144,73712545,73714928,	73687837,73688660,73689547,73706997,73712445,73714793,73716118,
Bcar1	1	chr8	-	111710474	111743809	111711394,111712690,111714436,111715399,111715776,111721331,	111712601,111713339,111715283,111715615,111720699,111743689,
Bcar3	1	chr3	+	122419778	122530191	122420183,122426754,122455092,122505055,122508571,122511322,122513003,122519378,122523340,122525035,122525499,	122426445,122455053,122504927,122508126,122511219,122512351,122519263,122523169,122524924,122525287,122529582,
